LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
East Northamptonshire,E07000152,East Midlands,14.8,15.8,11,8.8,9.6,11.66,10.3,7.8,9.9,12.52
Forest of Dean,E07000080,South West,18.7,18,9.5,11.6,14.1,13.32,10.8,10.9,11.7,12.74
Fylde,E07000119,North West,18,17.7,8.1,8.1,8.8,8.54,9.7,10.2,9.7,11.19
Gateshead,E08000037,North East,22.6,19.2,11,10.9,11.2,12.65,12.8,10.8,8.6,15.07
Gedling,E07000173,East Midlands,16.2,16.6,11,9.1,8.7,11.43,11,8.3,9.4,11.49
Gravesham,E07000109,South East,12.7,10.1,8.9,9.6,9.1,10.82,10.1,10.1,8.8,9.4
Greenwich,E09000011,London,11.3,9.3,8.3,9.2,9.9,9.2,10,11.3,11.1,16.66
Hambleton,E07000164,Yorkshire and the Humber,19.4,20.6,9.1,8.6,13.2,10.66,9.4,8.3,9.5,14.17
Harrogate,E07000165,Yorkshire and the Humber,17.3,18.2,9.1,8.6,11.7,10.39,9.4,8.2,8.3,12.87
High Peak,E07000037,East Midlands,17.8,19,13.3,10.5,10.5,12.42,10.6,8.5,10.5,13.14
Hillingdon,E09000017,London,11.2,9.6,9.1,9.3,9.1,9.63,10,11.5,10.1,13.83
Hinckley and Bosworth,E07000132,East Midlands,15.4,15.5,10.7,8.6,8.6,11.21,10.1,7.6,9,11.43
Isle of Wight,E06000046,South East,16,14.9,9.5,10,8.9,10.58,11.3,11,11.2,8.87
Islington,E09000019,London,10.4,8.1,7.4,8.6,11.1,9.76,8.4,10.4,11,14.76
Kettering,E07000153,East Midlands,16.5,16.7,11.9,9.5,9.4,12.43,10.8,8.5,9.5,12.82
King's Lynn and West Norfolk,E07000146,East of England,21.4,18.5,9.2,8.8,10.8,10.1,11,10.7,12.2,16.96
Kingston upon Thames,E09000021,London,9.9,9.1,8.9,9.4,10,9.37,9.3,10.9,10.4,12.39
Lambeth,E09000022,London,10.5,8.3,7.5,9.2,10.8,10.05,8.9,10.3,11.2,15.78
Lichfield,E07000194,West Midlands,17.4,14.3,10.9,9.8,9.5,10.95,10.8,9.4,9.1,12.52
Luton,E06000032,East of England,16.9,13.5,13.4,13.4,9.6,8.89,11.8,13.9,11.6,16.05
Medway,E06000035,South East,12.3,9.9,8.6,9.8,9.2,11.46,10.1,10.3,9,8.9
Melton,E07000133,East Midlands,16.6,18.1,12.3,9.5,11,12.82,11,8.3,10.6,12.46
Mid Suffolk,E07000203,East of England,19.4,18.2,9.1,8.7,10.9,10.24,9.6,9.3,10.8,13.48
North East Derbyshire,E07000038,East Midlands,18.6,18.6,11.9,9,8.7,11.05,11.4,8.4,10.4,13.5
North Kesteven,E07000139,East Midlands,16.4,17.7,9.8,7.7,9.1,10.28,10.5,7.3,10.4,11.91
North Lincolnshire,E06000013,Yorkshire and the Humber,18.5,17.3,8.6,8.2,10.2,10.85,11.1,9.1,9.8,16.09
North Tyneside,E08000022,North East,19,16.7,9.7,9.9,9.9,11.13,11.2,9.3,7.6,12.91
North West Leicestershire,E07000134,East Midlands,16.8,16.9,11.5,9,10,11.31,10.7,7.9,9.8,12.84
Northampton,E07000154,East Midlands,16.2,15.4,11.8,10.3,9.4,12.88,10.8,8.5,8.7,12.57
Nuneaton and Bedworth,E07000219,West Midlands,19.5,13.9,11.9,11.1,9.8,11.25,12,10.8,9.6,16.05
Peterborough,E06000031,East of England,15.6,12.6,9.6,9.7,8.5,7.75,10.6,11.4,9.5,15.21
Ribble Valley,E07000124,North West,20,19.9,9.8,9.4,11.6,10.63,10,10.2,11.1,11.7
Rother,E07000064,South East,17.6,17.2,8.8,8.9,9,9.36,9.9,9.8,10.6,8.63
Rotherham,E08000018,Yorkshire and the Humber,18.2,16.7,9.8,9,10.5,10.63,11.4,10.1,9.5,17.05
Rushcliffe,E07000176,East Midlands,14.8,16.9,11.5,8.7,8.6,9.98,10,7.7,8.8,9.86
Sedgemoor,E07000188,South West,15.6,15,8.7,11,12,11.24,10.5,10.8,9.6,10.82
South Derbyshire,E07000039,East Midlands,15.5,16.2,11,9,9.1,11.29,10.5,7.9,9.8,11.77
South Kesteven,E07000141,East Midlands,16,17.1,11.4,8.9,10.3,11.61,10.6,8.2,10,12.12
South Norfolk,E07000149,East of England,18.9,17.7,8.4,8.1,10,9.27,9.5,9.4,10.6,13.26
South Somerset,E07000189,South West,16.1,16,9.2,11.2,13,12.17,10.2,10.5,10,11.01
Southend-on-Sea,E06000033,East of England,19.1,16.9,9.2,9.8,9,8.36,10.1,11.4,9.3,14.78
Stockport,E08000007,North West,18.5,16.5,9.7,9.2,9.8,10.24,10.7,10.7,9.8,12.15
Stockton-on-Tees,E06000004,North East,18.1,16.8,10.3,11.1,10.7,12.34,13.4,11.3,9,12.97
Stratford-on-Avon,E07000221,West Midlands,19.6,17.1,12.4,10.5,12.1,13.62,10.5,9.6,10.2,13.59
Stroud,E07000082,South West,15.7,16.1,9.2,10.6,11.1,10.39,9.4,9.9,8.8,10.16
Teignbridge,E07000045,South West,16.3,16.5,9.3,11.8,11.7,10.87,10.5,10.9,9.6,9.9
Torbay,E06000027,South West,16,15.6,9.8,12.8,11.6,10.82,10.8,12.6,10,10.54
Trafford,E08000009,North West,18.5,16.6,11.1,10,10.4,9.88,11.1,11.4,10.4,12.79
Tunbridge Wells,E07000116,South East,13.2,12.7,9.2,8.6,9.8,9.7,9.5,9,8.5,8.14
Uttlesford,E07000077,East of England,16.9,16.7,9.4,8.5,9.7,8.96,8.8,9.3,9.3,11.89
Wakefield,E08000036,Yorkshire and the Humber,18.5,16.5,9.3,8.6,10.2,10.93,11.2,9.5,8.8,17.34
Warrington,E06000007,North West,16.7,14.3,8.3,8,8.4,9.83,10.1,9.8,9.1,11.57
Warwick,E07000222,West Midlands,16.9,13.6,11.6,11.1,10.8,12.34,10.8,10,8.6,13.02
Wellingborough,E07000156,East Midlands,16.3,15.6,11.8,10.1,9.7,12.73,11.1,8.6,9.8,13.2
West Lancashire,E07000127,North West,19.2,17,9,8.6,10,9.81,11,10.7,11.5,13.12
Wychavon,E07000238,West Midlands,19.3,16.7,12.1,10.6,11.1,12.7,10.7,9.5,10.3,14.07
