,LACode,LAName,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,Cluster_5,geography,UnpaidCare_person_per,LimitedAlot_person_per,NoCentralHeating_per_hh,HouseholdSize_hh,AverageRooms_hh,SocialRent_hh_per,PrivateRent_hh_per,Ethnicity_per,Deprivation_hh_per
222,E07000224,Arun,South East,13.4,12.1,6.7,7.5,7.2,8.83,8.8,8.6,7.9,7.17,4,4,1,2,1,3,3,3,2,2,2,Arun,11.07157667,9.352720074,2.621953048,2.2,5.4,8.823793962,15.30746859,2.942789497,4.314454472
121,E07000105,Ashford,South East,12.4,11.1,7.6,7.6,8.3,9.46,8.9,8.4,8.5,7.64,3,3,3,2,3,4,3,3,3,2,2,Ashford,10.01983791,7.134863848,1.828949296,2.4,5.8,14.47046268,14.3323498,6.304045576,3.777177894
22,E06000022,Bath and North East Somerset,South West,13.6,13.7,9.5,12.1,13.2,12.39,9.6,10.9,9.1,10.25,4,5,5,9,9,8,4,7,4,3,2,Bath and North East Somerset,9.990569039,6.969252795,2.309732708,2.3,5.7,14.43786982,16.93123852,5.421666212,3.557097191
277,E09000004,Bexley,London,11.8,10,7.6,8.2,8.5,7.64,8.2,9.8,9,12.84,3,2,3,3,3,2,2,5,4,5,2,Bexley,10.13892421,7.352250245,2.556045095,2.5,5.3,14.44538033,11.39907563,18.11876878,4.720098484
144,E07000129,Blaby,East Midlands,14,14.2,9.6,8,7.2,10.02,9.1,7,8.4,9.66,4,5,5,3,1,4,3,1,3,2,2,Blaby,11.23569185,6.882819571,1.328646022,2.4,5.9,7.620327767,10.01912837,9.012404834,2.429819573
87,E07000067,Braintree,East of England,14.9,12.8,8.1,8.2,8.4,7.71,8.8,9,9.3,13.07,4,4,3,3,3,2,3,4,4,5,2,Braintree,10.08267385,7.271355144,1.867535999,2.4,5.7,16.47199515,13.24148551,3.397378369,3.97916223
88,E07000068,Brentwood,East of England,15,13.7,7.7,7.7,7,6.26,8.1,8.4,7.5,10.15,5,5,3,2,1,1,2,3,2,3,2,Brentwood,10.59224739,6.819200826,1.501011551,2.4,5.7,11.70136396,11.26411277,6.430619149,3.298962344
40,E06000043,Brighton and Hove,South East,13.5,12.2,10.7,11.9,12.3,12.7,11.4,11.7,11.2,10.48,4,4,6,9,9,8,7,8,8,3,2,Brighton and Hove,8.767270612,7.478902143,4.447918381,2.2,4.6,14.96379793,29.58614448,10.92186751,6.380615435
159,E07000144,Broadland,East of England,16.3,15,6.7,7.1,7.2,6.57,8.9,8.8,9.5,11.39,5,5,1,1,2,1,3,3,4,4,2,Broadland,11.50698779,8.094122555,1.454927254,2.3,6,8.562696865,10.34760762,2.28727757,2.514249288
279,E09000006,Bromley,London,11,10.1,7.1,7.6,8.5,6.91,8.1,9.1,8.6,11.89,2,2,2,2,3,1,2,4,3,4,2,Bromley,10.02353002,6.616848529,1.997524109,2.3,5.5,14.07971757,13.29110055,15.68301701,4.166985068
