LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Selby,E07000169,Yorkshire and the Humber,0.15,0.15,7,6.9,9.4,9.17,8.8,7.1,8.3,13.19
Wellingborough,E07000156,East Midlands,0.16,0.16,11.8,10.1,9.7,12.73,11.1,8.6,9.8,13.2
Barnet,E09000003,London,0.11,0.11,9.7,9.7,10.1,9.2,9.7,12.4,11.8,13.23
South Norfolk,E07000149,East of England,0.19,0.18,8.4,8.1,10,9.27,9.5,9.4,10.6,13.26
Erewash,E07000036,East Midlands,0.18,0.17,12.6,10.4,9.4,13,12.3,9.2,10.3,13.31
Harlow,E07000073,East of England,0.13,0.09,6.4,7.3,7.1,6.44,7.9,8.1,7.5,13.33
Bury,E08000002,North West,0.19,0.16,10.3,10.1,10.4,11.21,11.6,11.7,10.6,13.35
Thurrock,E06000034,East of England,0.14,0.11,7.5,8.7,7.4,6.76,8.6,9.1,8.7,13.36
Babergh,E07000200,East of England,0.18,0.17,9.1,8.9,10.3,9.62,9.8,9.9,11,13.42
Mid Suffolk,E07000203,East of England,0.19,0.18,9.1,8.7,10.9,10.24,9.6,9.3,10.8,13.48
York,E06000014,Yorkshire and the Humber,0.16,0.16,9.1,9,10.7,11.55,10.5,8.9,8.5,13.49
Derbyshire Dales,E06000015,East Midlands,0.24,0.27,16,12.8,10.7,14.44,13.2,10.8,11.6,13.5
North East Derbyshire,E07000038,East Midlands,0.19,0.19,11.9,9,8.7,11.05,11.4,8.4,10.4,13.5
Westminster,E09000033,London,0.1,0.08,8.4,9.9,12.9,9.36,9.3,11.4,11.7,13.56
Stratford-on-Avon,E07000221,West Midlands,0.2,0.17,12.4,10.5,12.1,13.62,10.5,9.6,10.2,13.59
East Cambridgeshire,E07000009,East of England,0.14,0.13,7.2,7.3,8,7.35,8.5,8.3,9.9,13.66
Camden,E09000007,London,0.1,0.09,8.8,9.9,13.1,9.93,8.9,11.7,11.9,13.72
Watford,E07000103,East of England,0.15,0.12,10.3,10.2,8.6,7.98,10.3,10.2,8.5,13.73
"Bristol, City of",E06000023,South West,0.15,0.14,11.1,13.2,13.6,12.85,10.8,11.7,9.8,13.76
Sefton,E08000014,North West,0.21,0.19,11.4,10.9,11.2,10.94,12.7,13.1,12.5,13.77
Hillingdon,E09000017,London,0.11,0.1,9.1,9.3,9.1,9.63,10,11.5,10.1,13.83
Corby,E07000150,East Midlands,0.16,0.14,9.6,8,8.2,11.46,10.5,8.1,8.9,13.84
Wirral,E08000015,North West,0.21,0.19,11.2,10.6,10.9,11.18,13.1,13.5,12.2,13.86
Newark and Sherwood,E07000175,East Midlands,0.19,0.2,12.7,9.5,10.1,11.88,11.5,9.1,11.2,13.88
Bedford,E06000055,East of England,0.15,0.14,9.9,10.1,9.2,8.47,10.1,11.1,10.1,13.92
East Riding of Yorkshire,E06000011,Yorkshire and the Humber,0.18,0.18,8.3,8.2,10.1,10.16,9.7,8.5,9.4,13.95
Amber Valley,E07000032,East Midlands,0.19,0.19,13.2,10.3,10.1,12.58,12.4,8.8,10.5,13.96
Darlington,E07000096,North East,0.21,0.19,7.5,7.8,7.3,6.69,8,8.4,7.4,13.98
Halton,E06000006,North West,0.18,0.15,9.2,9.2,9.7,10.77,12.8,11.8,10.9,14.03
Wychavon,E07000238,West Midlands,0.19,0.17,12.1,10.6,11.1,12.7,10.7,9.5,10.3,14.07
